satellite,year,submitted,finished,successful,failed,errors,ncpus_requested,ncpus_used,cpu_used,walltime_used,memory_used,service_units,cpu_utilisation,job_id,stdout_size,stderr_lines,stderr_size,dir_errors
ls7,2003,2017-08-04T10:52:02,2017-08-04T11:34:24,1148,0,0,80,80,16:59:17,00:38:55,45.48GB,51.89,3.82,7400498.r-man2,1059,233512,40983487,
ls5,1995,2017-08-04T07:56:58,2017-08-04T11:45:23,1181,0,0,80,80,16:12:31,00:37:29,46.0GB,49.98,3.85,7396203.r-man2,1059,226594,39271421,
ls7,2008,2017-08-04T11:56:54,2017-08-04T12:31:19,1153,0,0,80,80,20:49:10,00:31:19,48.34GB,41.76,2.51,7402038.r-man2,1058,286398,50370219,
ls7,2015,2017-08-04T13:29:04,2017-08-04T16:00:30,1142,0,0,80,80,20:32:46,00:39:45,49.51GB,53.00,3.22,7404275.r-man2,1059,283236,49811006,
ls8,2013,2017-08-04T13:42:38,2017-08-04T15:10:27,1317,0,0,80,80,18:13:02,00:41:08,47.2GB,54.84,3.76,7404499.r-man2,1059,257986,45156416,
?,?,?,2017-08-04T09:45:16,?,?,0,80,80,00:03:37,00:31:05,0B,41.44,859.45,7397161.r-man2,933,510,39962,/g/data/v10/tmp/pq-stack/ls52002 must contain one .bin file; 
ls5,1988,2017-08-04T05:09:25,2017-08-04T06:03:49,1176,0,0,80,80,18:01:36,00:45:16,47.9GB,60.36,4.19,7391700.r-man2,1059,251980,43672906,
ls7,2001,2017-08-04T10:28:42,2017-08-04T11:19:56,1158,0,0,80,80,19:32:46,00:43:06,49.32GB,57.47,3.68,7399813.r-man2,1059,270169,47441506,
ls5,1991,2017-08-04T07:13:43,2017-08-04T07:48:10,1175,0,0,80,80,18:09:12,00:30:43,47.02GB,40.96,2.82,7395005.r-man2,1059,259514,45034412,
ls5,1997,2017-08-04T08:16:52,2017-08-04T08:59:52,1164,0,0,80,80,16:20:17,00:30:37,45.72GB,40.82,3.12,7396685.r-man2,1059,228352,39505554,
ls7,2000,2017-08-04T10:16:31,2017-08-04T10:58:18,1172,0,0,80,80,18:20:57,00:39:24,47.43GB,52.53,3.58,7399282.r-man2,1058,255732,44837011,
ls7,2002,2017-08-04T10:41:04,2017-08-04T12:07:59,1149,0,0,80,80,19:19:03,00:29:38,48.36GB,39.51,2.56,7400187.r-man2,1058,271556,47834296,
